"threshold_probability","threshold_value","threshold_percent","exceedances","sigma","xi","modified_scale","se_sigma","se_xi"
0.9,0.011953861818558,1.1953861818558,841,0.00823842436735156,0.137373330341397,0.00659628255889538,0.000394571265678802,0.0362970919151018
0.905,0.012444404434863,1.2444404434863,799,0.00817046500010195,0.14499549906177,0.00636608236854249,0.000404095889027041,0.037743458654936
0.91,0.0128535166634146,1.28535166634146,757,0.00830550926837205,0.140734715315048,0.00649657325994917,0.000419467500290086,0.0382333664069919
0.915,0.0134554789004901,1.34554789004901,715,0.00811669981427833,0.156083127714138,0.00601652658259825,0.000427264443831243,0.0404865827619321
0.92,0.0139944663898124,1.39944663898124,673,0.00809522602642191,0.162369939310011,0.00582294536803209,0.000441440887521291,0.042141675133923
0.925,0.0145276049256936,1.45276049256936,631,0.00816785532742988,0.16304722182591,0.00579916970451114,0.000459389040981499,0.0433704204465815
0.93,0.015090866171697,1.5090866171697,589,0.00826628351930082,0.162527584220037,0.00581360149662702,0.000479857646443605,0.0445875926882509
0.935,0.0159655987126612,1.59655987126612,547,0.00779801883958339,0.199280153772581,0.00461639187305293,0.000485375732551476,0.0495810041483908
0.94,0.0165616962095304,1.65616962095304,505,0.0080061343517699,0.193235261403024,0.00480583065544382,0.00051524071494314,0.0507824360715615
0.945,0.0172507429191132,1.72507429191132,463,0.0081612878530874,0.192303292096403,0.00484391319863322,0.000547671507122994,0.0527575933657894
0.95,0.0181928910686664,1.81928910686664,421,0.00793565108995308,0.217511185032781,0.00397849379443515,0.0005703872031504,0.057735185227798
0.955,0.0192071773699853,1.92071773699853,379,0.00772210617217089,0.245440790658259,0.00300788137216828,0.00059881215890714,0.0637142406860405
0.96,0.0202188554932532,2.02188554932532,337,0.00773356892273775,0.26105691902063,0.00245529680154573,0.00064655820007333,0.0694542717361931
0.965,0.021278797075067,2.1278797075067,295,0.00799358754370223,0.26147147815791,0.00242978901906225,0.000717800165854019,0.0745095127775921
0.97,0.02259945556272,2.259945556272,253,0.00813148918564478,0.275674430471722,0.00190139714442096,0.000804639001722473,0.0829897300893985
0.975,0.0242236454923804,2.42236454923804,211,0.00829547096173733,0.292711466486089,0.0012049321660235,0.000921072670331633,0.0942760236215791
0.98,0.0260195085961223,2.60195085961223,169,0.00920970990601259,0.266959278250579,0.00226356067075704,0.00114427006311917,0.104129759223317
0.985,0.029048371922011,2.9048371922011,127,0.00920274878953638,0.315415861792862,4.04315260756922e-05,0.00141714054628182,0.134078236341841
0.99,0.0325384939550125,3.25384939550125,85,0.0129087114092941,0.159544535478344,0.00771737250607668,0.00225735952994528,0.141717028941178
