"cluster_id","start_index","end_index","start_date","end_date","cluster_size","cluster_duration_trading_days","cluster_max_loss","cluster_max_excess","cluster_max_date"
1,11,11,1993-02-16,1993-02-16,1,1,0.0255517157805354,0.00132787423225184,1993-02-16
2,785,785,1996-03-08,1996-03-08,1,1,0.0329170868958775,0.00869324534759392,1996-03-08
3,867,867,1996-07-05,1996-07-05,1,1,0.025871584552692,0.00164774300440846,1996-07-05
4,873,873,1996-07-15,1996-07-15,1,1,0.0299708255140136,0.00574698396573009,1996-07-15
5,1051,1051,1997-03-27,1997-03-27,1,1,0.0268284259914227,0.00260458444313911,1997-03-27
6,1061,1061,1997-04-11,1997-04-11,1,1,0.0322679496433285,0.00804410809504491,1997-04-11
7,1111,1111,1997-06-23,1997-06-23,1,1,0.0245443185982817,0.000320477049998106,1997-06-23
8,1149,1149,1997-08-15,1997-08-15,1,1,0.0311826629472289,0.00695882139894538,1997-08-15
9,1199,1199,1997-10-27,1997-10-27,1,1,0.0752341240820837,0.0510102825338002,1997-10-27
10,1250,1250,1998-01-09,1998-01-09,1,1,0.0352547379453325,0.011030896397049,1998-01-09
11,1357,1357,1998-06-15,1998-06-15,1,1,0.0266686121332507,0.00244477058496712,1998-06-15
12,1392,1392,1998-08-04,1998-08-04,1,1,0.0395126949220552,0.0152888533737717,1998-08-04
13,1409,1409,1998-08-27,1998-08-27,1,1,0.048215653805828,0.0239918122575445,1998-08-27
14,1411,1411,1998-08-31,1998-08-31,1,1,0.0740146194467837,0.0497907778985001,1998-08-31
15,1417,1417,1998-09-09,1998-09-09,1,1,0.0245705553766031,0.000346713828319582,1998-09-09
16,1423,1423,1998-09-17,1998-09-17,1,1,0.028987703476723,0.00476386192843942,1998-09-17
17,1428,1428,1998-09-24,1998-09-24,1,1,0.0248391981500484,0.000615356601764875,1998-09-24
18,1432,1433,1998-09-30,1998-10-01,2,2,0.0308461032151719,0.00662226166688834,1998-09-30
19,1474,1474,1998-11-30,1998-11-30,1,1,0.0286500840446129,0.00442624249632934,1998-11-30
20,1484,1484,1998-12-14,1998-12-14,1,1,0.0292390798545874,0.00501523830630385,1998-12-14
21,1509,1509,1999-01-21,1999-01-21,1,1,0.0268559717369161,0.00263213018863257,1999-01-21
22,1551,1551,1999-03-23,1999-03-23,1,1,0.0292844986899796,0.00506065714169607,1999-03-23
23,1588,1588,1999-05-14,1999-05-14,1,1,0.0262802464386427,0.00205640489035913,1999-05-14
24,1693,1693,1999-10-13,1999-10-13,1,1,0.0262245238682324,0.00200068231994882,1999-10-13
25,1695,1695,1999-10-15,1999-10-15,1,1,0.0259366971166637,0.00171285556838014,1999-10-15
26,1750,1750,2000-01-04,2000-01-04,1,1,0.0398914069039185,0.0156675653556349,2000-01-04
27,1763,1763,2000-01-24,2000-01-24,1,1,0.0287515604030135,0.00452771885472997,2000-01-24
28,1767,1767,2000-01-28,2000-01-28,1,1,0.0316907699236051,0.00746692837532154,2000-01-28
29,1819,1819,2000-04-12,2000-04-12,1,1,0.0278091518861272,0.00358531033784365,2000-04-12
30,1821,1821,2000-04-14,2000-04-14,1,1,0.0588930962612251,0.0346692547129415,2000-04-14
31,1946,1946,2000-10-12,2000-10-12,1,1,0.0252645424282392,0.00104070087995562,2000-10-12
32,1949,1949,2000-10-17,2000-10-17,1,1,0.0251903733252998,0.000966531777016281,2000-10-17
