"model","volatility_state","volatility_quantile","z_vol","raw_zeta_hat","cluster_zeta_hat","sigma_hat","xi_hat","return_period","m_trading_days","return_level_decimal","return_level_percent"
"declustered cluster maxima volatility-dependent GPD","low volatility",0.25,-0.718298713278247,0.00720441588641029,0.00442556975879489,0.00428506353966796,0.162953500831831,"1 year",252,0.0246722696244579,2.46722696244579
"declustered cluster maxima volatility-dependent GPD","low volatility",0.25,-0.718298713278247,0.00720441588641029,0.00442556975879489,0.00428506353966796,0.162953500831831,"5 years",1260,0.0326991040373651,3.26991040373651
"declustered cluster maxima volatility-dependent GPD","low volatility",0.25,-0.718298713278247,0.00720441588641029,0.00442556975879489,0.00428506353966796,0.162953500831831,"10 years",2520,0.0368597348653859,3.68597348653859
"declustered cluster maxima volatility-dependent GPD","median volatility",0.5,-0.0718587482635706,0.0137460057799044,0.00844397497908415,0.00556437418238466,0.162953500831831,"1 year",252,0.0286719718127143,2.86719718127143
"declustered cluster maxima volatility-dependent GPD","median volatility",0.5,-0.0718587482635706,0.0137460057799044,0.00844397497908415,0.00556437418238466,0.162953500831831,"5 years",1260,0.0402523966160257,4.02523966160257
"declustered cluster maxima volatility-dependent GPD","median volatility",0.5,-0.0718587482635706,0.0137460057799044,0.00844397497908415,0.00556437418238466,0.162953500831831,"10 years",2520,0.0462549961415321,4.62549961415321
"declustered cluster maxima volatility-dependent GPD","high volatility",0.75,0.657529036456326,0.0282843645407374,0.0173746810750244,0.0074719484205504,0.162953500831831,"1 year",252,0.0366751833646782,3.66751833646782
"declustered cluster maxima volatility-dependent GPD","high volatility",0.75,0.657529036456326,0.0282843645407374,0.0173746810750244,0.0074719484205504,0.162953500831831,"5 years",1260,0.0541658656944733,5.41658656944733
"declustered cluster maxima volatility-dependent GPD","high volatility",0.75,0.657529036456326,0.0282843645407374,0.0173746810750244,0.0074719484205504,0.162953500831831,"10 years",2520,0.0632319891948469,6.32319891948469
"declustered cluster maxima volatility-dependent GPD","crisis volatility",0.9,1.30187505519644,0.0528398199114106,0.0324587465170094,0.00969449988530095,0.162953500831831,"1 year",252,0.0484987482053064,4.84987482053064
"declustered cluster maxima volatility-dependent GPD","crisis volatility",0.9,1.30187505519644,0.0528398199114106,0.0324587465170094,0.00969449988530095,0.162953500831831,"5 years",1260,0.0736249188670269,7.36249188670269
"declustered cluster maxima volatility-dependent GPD","crisis volatility",0.9,1.30187505519644,0.0528398199114106,0.0324587465170094,0.00969449988530095,0.162953500831831,"10 years",2520,0.0866488227957246,8.66488227957246
"declustered cluster maxima volatility-dependent GPD","extreme crisis volatility",0.95,1.65199526806966,0.073596570585068,0.0452093219308275,0.0111680229776344,0.162953500831831,"1 year",252,0.0575468475136268,5.75468475136268
"declustered cluster maxima volatility-dependent GPD","extreme crisis volatility",0.95,1.65199526806966,0.073596570585068,0.0452093219308275,0.0111680229776344,0.162953500831831,"5 years",1260,0.0880978588789232,8.80978588789232
"declustered cluster maxima volatility-dependent GPD","extreme crisis volatility",0.95,1.65199526806966,0.073596570585068,0.0452093219308275,0.0111680229776344,0.162953500831831,"10 years",2520,0.103933675737095,10.3933675737095
