"model","volatility_state","volatility_quantile","z_vol","zeta_hat","sigma_hat","xi_hat","return_period","m_trading_days","return_level_decimal","return_level_percent"
"all exceedances volatility-dependent GPD","low volatility",0.25,-0.718298713278247,0.00720441588641029,0.00445303847924063,0.120829404220529,"1 year",252,0.0269543784368719,2.69543784368719
"all exceedances volatility-dependent GPD","low volatility",0.25,-0.718298713278247,0.00720441588641029,0.00445303847924063,0.120829404220529,"5 years",1260,0.0354567012376037,3.54567012376037
"all exceedances volatility-dependent GPD","low volatility",0.25,-0.718298713278247,0.00720441588641029,0.00445303847924063,0.120829404220529,"10 years",2520,0.0396595748746592,3.96595748746592
"all exceedances volatility-dependent GPD","median volatility",0.5,-0.0718587482635706,0.0137460057799044,0.00568234455985518,0.120829404220529,"1 year",252,0.0318180387129507,3.18180387129507
"all exceedances volatility-dependent GPD","median volatility",0.5,-0.0718587482635706,0.0137460057799044,0.00568234455985518,0.120829404220529,"5 years",1260,0.0435483827049902,4.35483827049902
"all exceedances volatility-dependent GPD","median volatility",0.5,-0.0718587482635706,0.0137460057799044,0.00568234455985518,0.120829404220529,"10 years",2520,0.0493469338389804,4.93469338389804
"all exceedances volatility-dependent GPD","high volatility",0.75,0.657529036456326,0.0282843645407374,0.00748141098383046,0.120829404220529,"1 year",252,0.0407839835354887,4.07839835354887
"all exceedances volatility-dependent GPD","high volatility",0.75,0.657529036456326,0.0282843645407374,0.00748141098383046,0.120829404220529,"5 years",1260,0.0576351898263779,5.76351898263779
"all exceedances volatility-dependent GPD","high volatility",0.75,0.657529036456326,0.0282843645407374,0.00748141098383046,0.120829404220529,"10 years",2520,0.0659650888824883,6.59650888824883
"all exceedances volatility-dependent GPD","crisis volatility",0.9,1.30187505519644,0.0528398199114106,0.00953919423910112,0.120829404220529,"1 year",252,0.0531962207798365,5.31962207798365
"all exceedances volatility-dependent GPD","crisis volatility",0.9,1.30187505519644,0.0528398199114106,0.00953919423910112,0.120829404220529,"5 years",1260,0.0763677168713401,7.63677168713401
"all exceedances volatility-dependent GPD","crisis volatility",0.9,1.30187505519644,0.0528398199114106,0.00953919423910112,0.120829404220529,"10 years",2520,0.0878218656182839,8.78218656182839
"all exceedances volatility-dependent GPD","extreme crisis volatility",0.95,1.65199526806966,0.073596570585068,0.0108856120537545,0.120829404220529,"1 year",252,0.0623203055934501,6.23203055934501
"all exceedances volatility-dependent GPD","extreme crisis volatility",0.95,1.65199526806966,0.073596570585068,0.0108856120537545,0.120829404220529,"5 years",1260,0.089842441430507,8.9842441430507
"all exceedances volatility-dependent GPD","extreme crisis volatility",0.95,1.65199526806966,0.073596570585068,0.0108856120537545,0.120829404220529,"10 years",2520,0.103447201195106,10.3447201195106
