"pair","u","joint_survival","single_survival","chi","chi_bar","n_joint"
"spy_tlt",0.8,0.032258064516129,0.2,0.161290322580645,-0.0626418698753413,194
"spy_tlt",0.805,0.031260392417692,0.195,0.160309704706113,-0.0565278950904035,188
"spy_tlt",0.81,0.0305952776854007,0.19,0.161027777291583,-0.0474480875599325,184
"spy_tlt",0.815,0.0285999334885268,0.185,0.154594235073118,-0.0505161095933131,172
"spy_tlt",0.82,0.0269371466577985,0.18,0.149650814765547,-0.0510900523692656,162
"spy_tlt",0.825,0.025440638510143,0.175,0.145375077200817,-0.0505170932294768,153
"spy_tlt",0.83,0.0239441303624875,0.17,0.140847825661691,-0.0504064211893411,144
"spy_tlt",0.835,0.0221150648486864,0.165,0.134030696052645,-0.0545393757015709,133
"spy_tlt",0.84,0.0209511140671766,0.16,0.130944462919854,-0.0518425143838657,126
"spy_tlt",0.845,0.019620884602594,0.155,0.1265863522748,-0.0515116090125263,118
"spy_tlt",0.85,0.0177918190887928,0.15,0.118612127258619,-0.0582714311594127,107
"spy_tlt",0.855,0.0161290322580645,0.145,0.111234705228031,-0.0642313254645981,97
"spy_tlt",0.86,0.0151313601596275,0.14,0.10808114399734,-0.061742070508735,91
"spy_tlt",0.865,0.014632524110409,0.135,0.108389067484511,-0.0519699618151254,88
"spy_tlt",0.87,0.0142999667442634,0.13,0.109999744186642,-0.0393305441450726,86
"spy_tlt",0.875,0.0133022946458264,0.125,0.106418357166611,-0.0372551849083834,80
"spy_tlt",0.88,0.0129697372796807,0.12,0.10808114399734,-0.0240750695798212,78
"spy_tlt",0.885,0.0118057864981709,0.115,0.102659013027573,-0.0255721904521078,71
"spy_tlt",0.89,0.010808114399734,0.11,0.0982555854521269,-0.0249385560148383,65
"spy_tlt",0.895,0.0103092783505155,0.105,0.0981836033382425,-0.0146722101504463,62
"spy_tlt",0.9,0.00931160625207848,0.1,0.0931160625207848,-0.0152514879341911,56
"spy_tlt",0.905,0.00814765547056867,0.095,0.0857647944270387,-0.0212614880969119,49
"spy_tlt",0.91,0.00731626205520452,0.09,0.0812918006133836,-0.0206937040576691,44
"spy_tlt",0.915,0.00698370468905886,0.085,0.0821612316359867,-0.00684256602193489,42
"spy_tlt",0.92,0.0066511473229132,0.08,0.0831393415364151,0.00767836444080583,40
"spy_tlt",0.925,0.00581975390754905,0.075,0.0775967187673207,0.00661362997683401,35
"spy_tlt",0.93,0.00482208180911207,0.07,0.0688868829873154,-0.00300483847709987,29
"spy_tlt",0.935,0.00432324575989358,0.065,0.0665114732291321,0.00422267694244405,26
"spy_tlt",0.94,0.00382440971067509,0.0599999999999999,0.0637401618445849,0.0108635413571803,23
"spy_tlt",0.945,0.0033255736614566,0.0549999999999999,0.0604649756628474,0.0166016859481737,20
"spy_tlt",0.95,0.00249418024609245,0.0499999999999999,0.0498836049218491,-0.00038883800248668,15
"spy_tlt",0.955,0.00199534419687396,0.0449999999999999,0.0443409821527548,-0.00237305465215243,12
"spy_tlt",0.96,0.00199534419687396,0.0399999999999999,0.0498836049218491,0.0355179528289684,12
"spy_tlt",0.965,0.0016627868307283,0.0349999999999999,0.0475081951636658,0.047748357077614,10
"spy_tlt",0.97,0.00116395078150981,0.0299999999999999,0.0387983593836605,0.0380673544049226,7
"spy_tlt",0.975,0.00099767209843698,0.025,0.0399068839374792,0.0676797685383106,6
