"pair","u","joint_survival","single_survival","chi","chi_bar","n_joint"
"spy_vix",0.8,0.139175257731959,0.2,0.695876288659794,0.632272347260045,837
"spy_vix",0.805,0.135018290655138,0.195,0.69240149053917,0.632841195023763,812
"spy_vix",0.81,0.131858995676754,0.19,0.69399471408818,0.639400846086559,793
"spy_vix",0.815,0.128367143332225,0.185,0.693876450444459,0.643949207649809,772
"spy_vix",0.82,0.12454273362155,0.18,0.691904075675276,0.646385844266099,749
"spy_vix",0.825,0.120219487861656,0.175,0.686968502066607,0.645524517831557,723
"spy_vix",0.83,0.115563684735617,0.17,0.679786380797747,0.642271948755443,695
"spy_vix",0.835,0.112570668440306,0.165,0.682246475395794,0.649877464260856,677
"spy_vix",0.84,0.10808114399734,0.16,0.675507149983372,0.647358265578015,650
"spy_vix",0.845,0.103924176920519,0.155,0.670478560777541,0.646866603347353,625
"spy_vix",0.85,0.100432324575989,0.15,0.669548830506596,0.650910487213404,604
"spy_vix",0.855,0.0957765214499501,0.145,0.660527734137587,0.64640874741733,576
"spy_vix",0.86,0.0912869970069837,0.14,0.652049978621313,0.642707370834457,549
"spy_vix",0.865,0.0874625872963086,0.135,0.647871017009693,0.643705491548248,526
"spy_vix",0.87,0.0834718989025607,0.13,0.642091530019698,0.643189156265431,502
"spy_vix",0.875,0.0796474891918856,0.125,0.637179913535085,0.643733251559552,479
"spy_vix",0.88,0.0766544728965747,0.12,0.638787274138122,0.651007999451245,461
"spy_vix",0.885,0.0731626205520452,0.115,0.636196700452567,0.654122164287678,440
"spy_vix",0.89,0.0698370468905886,0.11,0.634882244459897,0.658613364385177,420
"spy_vix",0.895,0.065513801130695,0.105,0.623940963149477,0.65386132069336,394
"spy_vix",0.9,0.0610242766877286,0.1,0.610242766877287,0.646771797678465,367
"spy_vix",0.905,0.0581975390754905,0.095,0.612605674478848,0.655380485992902,350
"spy_vix",0.91,0.0543731293648154,0.09,0.604145881831283,0.653874002126766,327
"spy_vix",0.915,0.0513801130695045,0.085,0.604471918464759,0.660839231165163,309
"spy_vix",0.92,0.0472231459926837,0.08,0.590289324908547,0.65465788798265,284
"spy_vix",0.925,0.0432324575989358,0.075,0.576432767985811,0.649240463729096,260
"spy_vix",0.93,0.0399068839374792,0.07,0.570098341963989,0.651095691192221,240
"spy_vix",0.935,0.0355836381775856,0.065,0.547440587347472,0.638774018708956,214
"spy_vix",0.94,0.0327569005653475,0.0599999999999999,0.545948342755793,0.645923157380607,197
"spy_vix",0.945,0.0297638842700366,0.0549999999999999,0.541161532182484,0.65056507046076,179
"spy_vix",0.95,0.0259394745593615,0.0499999999999999,0.51878949118723,0.640602959801602,156
"spy_vix",0.955,0.0227801795809777,0.0449999999999999,0.506226212910617,0.63998093547801,137
"spy_vix",0.96,0.018623212504157,0.0399999999999999,0.465580312603925,0.616166623279254,112
"spy_vix",0.965,0.0154639175257732,0.0349999999999999,0.441826215022092,0.608159999052749,93
"spy_vix",0.97,0.0128034585966079,0.0299999999999999,0.426781953220265,0.609236236580395,77
"spy_vix",0.975,0.0104755570335883,0.025,0.419022281343531,0.61838719222351,63
